barcode,name,image
6224010433021,Texas burger sauce,https://images.openfoodfacts.org/images/products/622/401/043/3021/front_fr.3.400.jpg
6223001930044,ماء,https://images.openfoodfacts.org/images/products/622/300/193/0044/front_xx.11.400.jpg
6772504392632,Coffee Mix,https://images.openfoodfacts.org/images/products/677/250/439/2632/front_en.3.400.jpg
6225000332928,Nestle sparking water,https://images.openfoodfacts.org/images/products/622/500/033/2928/front_en.4.400.jpg
6224009372249,,
6221031001222,,https://images.openfoodfacts.org/images/products/622/103/100/1222/front_ar.3.400.jpg
6223000498309,Fresca Waffer Biscuits Covered With Chocolate,https://images.openfoodfacts.org/images/products/622/300/049/8309/front_en.18.400.jpg
6223001360506,orange,https://images.openfoodfacts.org/images/products/622/300/136/0506/front_en.16.400.jpg
6224007250020,ملح,https://images.openfoodfacts.org/images/products/622/400/725/0020/front_ar.8.400.jpg
6223007300223,,https://images.openfoodfacts.org/images/products/622/300/730/0223/front_ar.4.400.jpg
6223007290012,Damfi,https://images.openfoodfacts.org/images/products/622/300/729/0012/front_en.5.400.jpg
6221024992513,Peanut Butter,https://images.openfoodfacts.org/images/products/622/102/499/2513/front_fr.3.400.jpg
7622210077660,Dairy milk Bubbly,https://images.openfoodfacts.org/images/products/762/221/007/7660/front_ar.9.400.jpg
5449000266248,Sprite,https://images.openfoodfacts.org/images/products/544/900/026/6248/front_en.3.400.jpg
6222014352553,,https://images.openfoodfacts.org/images/products/622/201/435/2553/front_en.3.400.jpg
6223000719206,Granola original shofan,
6221033000957,HEINZ,https://images.openfoodfacts.org/images/products/622/103/300/0957/front_ar.6.400.jpg
6223001366256,,https://images.openfoodfacts.org/images/products/622/300/136/6256/front_en.3.400.jpg
6223001878643,Yo Go Strawberry Yogurt Drink,https://images.openfoodfacts.org/images/products/622/300/187/8643/front_en.4.400.jpg
6221073008012,Oat biscuits,https://images.openfoodfacts.org/images/products/622/107/300/8012/front_en.5.400.jpg
6221073011760,Dark chocolate,https://images.openfoodfacts.org/images/products/622/107/301/1760/front_en.4.400.jpg
6222014336171,Cocktails Premium Quality,https://images.openfoodfacts.org/images/products/622/201/433/6171/front_en.19.400.jpg
6223000756645,Fromage,https://images.openfoodfacts.org/images/products/622/300/075/6645/front_en.12.400.jpg
6224000036027,TEAMA TRIANGLE CHEESE 8 PORTIONS 120G,https://images.openfoodfacts.org/images/products/622/400/003/6027/front_en.13.400.jpg
6224000432195,حليب بالشوكولاته مزارع دينا,https://images.openfoodfacts.org/images/products/622/400/043/2195/front_en.3.400.jpg
6223005400932,كامارا,
6222000302869,صلصة طماطم  قها,
6223000080467,Amstel Malt Natural Lemon,https://images.openfoodfacts.org/images/products/622/300/008/0467/front_fr.3.400.jpg
8690997085443,Damla Sour Belts Rainbow uzun şeker,https://images.openfoodfacts.org/images/products/869/099/708/5443/front_en.5.400.jpg
6224008559016,Penne Pasta,
6223000496343,Molto mini magnum chocolate,https://images.openfoodfacts.org/images/products/622/300/049/6343/front_en.6.400.jpg
6221007037651,Nesquik,https://images.openfoodfacts.org/images/products/622/100/703/7651/front_fr.3.400.jpg
6221007028024,nescafe,https://images.openfoodfacts.org/images/products/622/100/702/8024/front_xx.6.400.jpg
6224000063122,,https://images.openfoodfacts.org/images/products/622/400/006/3122/front_en.3.400.jpg
6224008845195,free gluten,https://images.openfoodfacts.org/images/products/622/400/884/5195/front_ar.3.400.jpg
5206542010698,Mojito,https://images.openfoodfacts.org/images/products/520/654/201/0698/front_fr.3.400.jpg
6223000760215,Halawa,
6223003540630,koky,https://images.openfoodfacts.org/images/products/622/300/354/0630/front_ar.3.400.jpg
6224011439107,لبنة,https://images.openfoodfacts.org/images/products/622/401/143/9107/front_ar.5.400.jpg
6221155114938,,https://images.openfoodfacts.org/images/products/622/115/511/4938/front_en.3.400.jpg
6223004763762,PEANUT BUTTER,
6224011536349,GREEK AUTHENTIC YOGURT,
6221073012101,Cooking chocolate dark,https://images.openfoodfacts.org/images/products/622/107/301/2101/front_en.3.400.jpg
6221333000336,,
5900617014665,Extra thin rice cakes,https://images.openfoodfacts.org/images/products/590/061/701/4665/front_en.10.400.jpg
